tradingsymbol,instrument_token
HDFCBANK,341249
RELIANCE,738561
ICICIBANK,1270529
INFY,408065
ITC,424961
TCS,2953217
AXISBANK,1510401
KOTAKBANK,492033
SBIN,779521
BHARTIARTL,2714625
HINDUNILVR,356865
BAJFINANCE,81153
ASIANPAINT,60417
MARUTI,2815745
TITAN,897537
HCLTECH,1850625
SUNPHARMA,857857
TATASTEEL,895745
NTPC,2977281
M&M,519937
TRENT,502785
POWERGRID,3834113
ULTRACEMCO,2952193
SHRIRAMFIN,1102337
ADANIENT,6401
BEL,98049
COALINDIA,5215745
BAJAJFINSV,4268801
JSWSTEEL,3001089
GRASIM,315393
ADANIPORTS,3861249
HINDALCO,348929
DRREDDY,225537
CIPLA,177665
TECHM,3465729
WIPRO,969473
SBILIFE,5582849
EICHERMOT,232961
TATACONSUM,878593
INDUSINDBK,1346049
HDFCLIFE,119553
BRITANNIA,140033
DIVISLAB,2800641
BPCL,134657
APOLLOHOSP,40193
HEROMOTOCO,345089
ONGC,633601
UPL,2889473
JIOFIN,644609
ETERNAL,1304833